Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Afghanistan,AFG,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7956456168.29306,7983854240.16617,7370791520.56327
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,4110293870.69689,4785182221.9259,4821430666.52656
Albania,ALB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6122452299.79361,6854286781.72703,6925814672.05683
Algeria,DZA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,38511674028.6667,45231560891.9383,38999162479.062
Algeria,DZA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,60127885210.1899,..,..
American Samoa,ASM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,362000000,438000000,..
American Samoa,ASM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Andorra,AND,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,35420915616.9387,41388899132.5883,36020868041.6791
Angola,AGO,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,28256537255.8004,25887355607.4086,22299328651.1375
Antigua and Barbuda,ATG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,990296296.296296,1151703703.7037,..
Antigua and Barbuda,ATG,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,970692123.152667,1115054157.72354,..
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1125081734176.18,1318919927659.46,1273419126714.2
Arab World,ARB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1022899193514.95,1102091770287.99,1110472666639.19
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,72860588696.6328,75676150102.3873,77684320032.9072
Argentina,ARG,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,89310577213.5266,86783019877.1844,66277664569.6775
Armenia,ARM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,4405338828.34724,4907543853.58308,5631686117.72708
Armenia,ARM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,5650559503.77429,6609502522.99124,7469489646.67263
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2241340782.1229,..,..
Aruba,ABW,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2038205647.6442,2272900438.38577,2252067543.90886
Australia,AUS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,281864393996.531,312681962638.555,336725790301.817
Australia,AUS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,289537678516.312,310225664276.837,295555960123.326
Austria,AUT,Exports of goods and services (current US$),NE.EXP.GNFS.CD,225532509835.271,253446654971.686,247353333587.294
Austria,AUT,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,212901579390.896,238793631749.652,232801418746.672
Azerbaijan,AZE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,19839356263.0723,25484470588.2353,23629647058.8235
Azerbaijan,AZE,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,17105068000,17705199000,17712459100.0138
"Bahamas, The",BHS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,4538800000,5132000000,5328800000
"Bahamas, The",BHS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4921466372.68991,5133821773.77056,4791899151.76885
Bahrain,BHR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,26881914893.617,29959042553.1915,..
Bahrain,BHR,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,23876329787.234,27186968085.1064,..
Bangladesh,BGD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,37546818877.6792,40560411465.9792,46363741962.7091
Bangladesh,BGD,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,56764922839.7063,65585208867.4853,64421065790.1923
Barbados,BRB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2100297550,2100093700,2188203000
Barbados,BRB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Belarus,BLR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,36551674170.6774,42295053003.5336,41905201262.0709
Belarus,BLR,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,36495300000,41338700000,42369000000
Belgium,BEL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,418211812445.412,451227129596.549,436269291741.176
Belgium,BEL,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,412897593697.458,452533538286.1,433044586140.287
Belize,BLZ,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1009694450,1079726300,1084579350
Belize,BLZ,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1087886311.08089,1155093354.25485,1232192415.35216
Benin,BEN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,3455561315.16264,3889961780.11204,4264042971.65289
Benin,BEN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4017845451.13085,4668665792.69971,..
Bermuda,BMU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,3466748000,3703900000,3759931000
Bermuda,BMU,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2044357675.03336,2121269459.94406,..
Bhutan,BTN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,737147921.73411,754068095.24854,860578270.754314
Bhutan,BTN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1234918506.57475,1260911285.0785,1241567454.63458
Bolivia,BOL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,9341206390.69807,10470274257.4627,10210442517.0918
Bolivia,BOL,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,11762009850.4516,12443964233.1397,11976428328.8021
Bosnia and Herzegovina,BIH,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7382217932.46514,8501630054.31503,8076578902.18076
Bosnia and Herzegovina,BIH,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,10372840125.2054,11549801483.5484,11148784005.6455
Botswana,BWA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6904812503.6241,7528334921.56863,6160141513.03006
Botswana,BWA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6340735012.33279,7312140051.84128,..
Brazil,BRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,258329886570.157,280742690897.148,263497852452.782
Brazil,BRA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,226514898036.35,257663477835.22,254722826457.9
British Virgin Islands,VGB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
British Virgin Islands,VGB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Brunei Darussalam,BRN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6012294735.31755,7045834309.43732,7804997287.78771
Brunei Darussalam,BRN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4320510018.7501,5681696874.53474,6805793041.86536
Bulgaria,BGR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,39675532699.5102,43591843693.4218,44009023468.8037
Bulgaria,BGR,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,37239440000,41496250000,40849240000
Burkina Faso,BFA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,3731626622.06429,4517544324.79096,4056716092.88783
Burkina Faso,BFA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4629393892.1884,5166928038.8901,..
Burundi,BDI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,236167733.241568,285503118.549762,275062068.739445
Burundi,BDI,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,885421946.40787,905294483.669827,..
Cabo Verde,CPV,Exports of goods and services (current US$),NE.EXP.GNFS.CD,812736072.667436,968366815.998092,1008054463.88803
Cabo Verde,CPV,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1179579876.70898,1335845828.69856,1291419201.98317
Cambodia,KHM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,13457559457.2629,15135150382.1529,16549259440.9858
Cambodia,KHM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,18246676109.7443,21862705608.1586,25515540744.8225
Cameroon,CMR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6506092153.93536,7473268802.66596,7885214648.64118
Cameroon,CMR,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7271200972.12933,8422507281.96614,..
Canada,CAN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,518235397597.284,550529196589.897,549482700560.327
Canada,CAN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,554855685693.338,584174762267.095,578749593810.266
Caribbean small states,CSS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Caribbean small states,CSS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,32970810672.8425,35289713609.8873,..
Cayman Islands,CYM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Cayman Islands,CYM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2195360763.00184,..,..
Central African Republic,CAF,Exports of goods and services (current US$),NE.EXP.GNFS.CD,357682947.600536,419401328.480781,414205622.696962
Central African Republic,CAF,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Central Europe and the Baltics,CEB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,942778190415.806,1058039728342.62,1056492838848.78
Central Europe and the Baltics,CEB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,894213688759.005,1017989771493.76,1001684514277.92
Chad,TCD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,3387430128.68017,4067531256.38563,4157368098.56787
Chad,TCD,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Channel Islands,CHI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Channel Islands,CHI,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Chile,CHL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,78790199944.6259,85257763802.9178,79613395185.9381
Chile,CHL,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,75085023489.7674,85158706133.6264,80237779208.1644
China,CHN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2424199911705.08,2655591916228.46,2641273365373.5
China,CHN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2212267456271.44,2548007453717.03,2479254939622.91
Colombia,COL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,47235694691.1413,53017149213.859,51123470287.0702
Colombia,COL,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,56685359888.4449,63089059294.9745,64698357605.5468
Comoros,COM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,128229503.784909,156131476.712545,149339045.758336
Comoros,COM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,305300295.235049,350550975.635886,..
"Congo, Dem. Rep.",COD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,13401989661.626,16080742572.5421,15173271455.9601
"Congo, Dem. Rep.",COD,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,13062675382.7566,17774432914.1415,16891705449.091
"Congo, Rep.",COG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6442159723.46483,9709768353.74784,8475348645.10139
"Congo, Rep.",COG,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Costa Rica,CRI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,19160941533.6844,20272942762.9566,20884707651.5941
Costa Rica,CRI,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,19012874739.1111,19764377539.5603,19611640893.7928
Cote d'Ivoire,CIV,Exports of goods and services (current US$),NE.EXP.GNFS.CD,12855832026.0491,13134192041.8978,13918496153.8527
Cote d'Ivoire,CIV,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,11848917548.7643,12934097473.1047,..
Croatia,HRV,Exports of goods and services (current US$),NE.EXP.GNFS.CD,27673923003.0161,30811066855.2486,31567697384.1087
Croatia,HRV,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,27414075589.283,31323161829.0891,31390349639.7261
Cuba,CUB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,14083000000,14505000000,..
Cuba,CUB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Curacao,CUW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Curacao,CUW,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2432779731.60894,2784741513.58101,2329927116.51955
Cyprus,CYP,Exports of goods and services (current US$),NE.EXP.GNFS.CD,16705465431.5409,19040523145.9613,17931937758.8716
Cyprus,CYP,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,16677286594.2161,17997006771.4369,17223868962.1719
Czech Republic,CZE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,172776198149.125,191590012233.518,186483271375.465
Czech Republic,CZE,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,156979845970.984,176775093274.284,171397382669.955
Denmark,DNK,Exports of goods and services (current US$),NE.EXP.GNFS.CD,182923569688.047,200901417307.833,204185256980.275
Denmark,DNK,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,158991275630.837,176471249716.111,171744525877.569
Djibouti,DJI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,4067437542.20122,4494480081.02633,..
Djibouti,DJI,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4306043214.04457,4188971415.71011,..
Dominica,DMA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,219990518.518519,162867851.851852,219805148.148148
Dominica,DMA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,322069276.250701,431429032.328022,..
Dominican Republic,DOM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,18945236857.4222,20149516087.1076,20518119286.5394
Dominican Republic,DOM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,21041300000,23607400000,24181200000
Early-demographic dividend,EAR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2714142573637.06,3050007009074.91,3032718470335.8
Early-demographic dividend,EAR,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2918434945695.64,3198915290590.18,3080262491056.67
East Asia & Pacific,EAS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7087546907760.2,7698513154478.09,7565707683994.91
East Asia & Pacific,EAS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6565995475664.36,7358662238407.33,7136084487406.05
East Asia & Pacific (excluding high income),EAP,Exports of goods and services (current US$),NE.EXP.GNFS.CD,3544203023104.15,3884341645359.77,3870382935307.31
East Asia & Pacific (excluding high income),EAP,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,3251280860312.87,3722218666761.12,3645615783966.28
East Asia & Pacific (IDA & IBRD countries),TEA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,3540051200815.66,3879716585945.21,3865765559546.42
East Asia & Pacific (IDA & IBRD countries),TEA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,3245411660239.6,3715489291342.73,3639024898411.75
Ecuador,ECU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,21727767000,24314052000,25129245000
Ecuador,ECU,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,23012083554.5552,26289043571.6862,25831298203.5441
"Egypt, Arab Rep.",EGY,Exports of goods and services (current US$),NE.EXP.GNFS.CD,37289402173.913,47225661226.7867,53041002277.9043
"Egypt, Arab Rep.",EGY,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,70224100000,76328100000,78950800000
El Salvador,SLV,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7251410000,7517170000,7982940000
El Salvador,SLV,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,11336179943.2413,12638948592.6437,12872829177.9627
Equatorial Guinea,GNQ,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7181837392.04249,7809387582.7825,6079488181.65216
Equatorial Guinea,GNQ,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Eritrea,ERI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Eritrea,ERI,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Estonia,EST,Exports of goods and services (current US$),NE.EXP.GNFS.CD,20385987018.1789,22703453650.2651,22945209656.9647
Estonia,EST,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,19343561598.4927,21889472748.3976,21678234589.3115
Eswatini,SWZ,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1915868748.78089,1886791240.24743,2052248996.53979
Eswatini,SWZ,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1947794179.06592,2066910588.82871,1926374039.88817
Ethiopia,ETH,Exports of goods and services (current US$),NE.EXP.GNFS.CD,6238595144.93368,7055599390.22989,7615437260.73101
Ethiopia,ETH,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,19310435700.1672,19928882545.9291,..
Euro area,EMU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,5990706468525.54,6577211368968.93,6429389958646.07
Euro area,EMU,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,5460395812579.72,6047346781000.13,5961820761839.88
Europe & Central Asia,ECS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,9434820830159.17,10418345153845.4,10253363976184.5
Europe & Central Asia,ECS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,8734265860912.58,9595571186495.64,9495108481568.35
Europe & Central Asia (excluding high income),ECA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,922471809380.164,1085922757948.32,1071635407449.15
Europe & Central Asia (excluding high income),ECA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,882637688648.591,935672432985.701,940320570462.677
Europe & Central Asia (IDA & IBRD countries),TEC,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1324272523572.56,1542292700101.05,1535099513140.68
Europe & Central Asia (IDA & IBRD countries),TEC,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1268523006298.54,1380825167903.36,1381033479871.85
European Union,EUU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7147456904021.32,7858007023321.11,7711425858571.94
European Union,EUU,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6537333269205.86,7256442797380.03,7148492859871.08
Faroe Islands,FRO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1645246785.50334,1606483387.70468,..
Faroe Islands,FRO,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Fiji,FJI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2461705936.42653,2674235891.53971,..
Fiji,FJI,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2728917860.5842,3095020409.42192,3208148732.75794
Finland,FIN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,95994657970.5884,106288267791.372,108199450321.568
Finland,FIN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,95955454866.0119,109179728027.628,106495286379.383
Fragile and conflict affected situations,FCS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,335041363269.091,422035095690.02,..
Fragile and conflict affected situations,FCS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,336358546937.646,396706748907.463,..
France,FRA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,803163777629.413,884286927396.078,862766690486.273
France,FRA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,858197178289.032,947309863801.217,919631599016.162
French Polynesia,PYF,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
French Polynesia,PYF,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Gabon,GAB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7498597594.24114,8521609542.23314,8550820858.45803
Gabon,GAB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
"Gambia, The",GMB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,252666151.743551,362985807.384148,376853732.833958
"Gambia, The",GMB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,548107724.741477,621146661.889594,..
Georgia,GEO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7557441721.45846,8898149244.30764,9580781377.52386
Georgia,GEO,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,9344910838.13,10768594069,11105361317.92
Germany,DEU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1738342097541.18,1877737746814.9,1810593293176.47
Germany,DEU,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1481481521241.62,1632280558102.6,1587677965792.75
Ghana,GHA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,20801563774.2788,23118048350.1625,24098556292.4062
